Nazwisko aktualne,Liczba
ROMIANOWSKI,55
ROSENBERGER,55
ROSOŁOWICZ,55
ROZTOCKI,55
ROŻEŃSKI,55
RÓŻANKOWSKI,55
RUBINSTEIN,55
RUPRECHT,55
RYBALKIN,55
RYCHLIKOWSKI,55
RYŁKA,55
RYNDA,55
RYSZCZYŃSKI,55
RZĄDZIŃSKI,55
SALNIK,55
SAŁADYGA,55
SAMARDAK,55
SAMBÓR,55
SARKISYAN,55
SAYED,55
SCHEWE,55
SELWESIUK,55
SENETRA,55
SHAFRAN,55
SHAHID,55
SHAPOVALENKO,55
SHARAI,55
SHCHUKA,55
SHMAT,55
SHUMILOV,55
SIECZKIEWICZ,55
SIEMIENKIEWICZ,55
SIKOCIŃSKI,55
SIŃCZUK,55
SITNIEWSKI,55
SIWANOWICZ,55
SKÓRKOWSKI,55
SKROUBA,55
SKRYPNYCHENKO,55
SŁAWCZYK,55
SŁUPINA,55
SMARŻ,55
SMERCZEK,55
SMYCZYK,55
SOPILNIAK,55
SPIRALSKI,55
SRAL,55
STAFECKI,55
STANOK,55
STASHUK,55
STASISZYN,55
STEPPA,55
STOLAŚ,55
STRENG,55
STROMIŃSKI,55
STRUPOWSKI,55
STRYCHAREK,55
SUCHACZ,55
SUROWIK,55
SYBIDŁO,55
SYGUTOWSKI,55
SYK,55
SYROVATKA,55
SYRYTCZYK,55
SZANDROWSKI,55
SZAROWOLEC,55
SZATYŃSKI,55
SZCZODRUCH,55
SZCZUDLAK,55
SZCZYKOWSKI,55
SZELECH,55
SZEREDA,55
SZLEZAK,55
SZMIST,55
SZPERLAK,55
SZTAL,55
SZTYBURSKI,55
SZUPRYTOWSKI,55
SZYMECZEK,55
ŚCIESIEK,55
ŚCIUBISZ,55
TABACHUK,55
TANKIELUN,55
TARCZ,55
TARHONSKYI,55
TARNAWCZYK,55
TIMOSZYK,55
TŁUCZKIEWICZ,55
TOMAK,55
TOMCZYKIEWICZ,55
TOMTAŁA,55
TONKONOH,55
TRATWAL,55
TRUCH,55
TSIARESHCHANKA,55
TURBAKIEWICZ,55
TWARDYGROSZ,55
TWOROWSKI,55
TYKHOLIZ,55
TYMOSHYK,55
TYPROWICZ,55
ULAN,55
UNTON,55
URBASIK,55
VARVARUK,55
VENHRYN,55
VODOPIAN,55
WALANCIK,55
WALD,55
WALERIAN,55
WANTOWSKI,55
WAŃCZURA,55
WARESIAK,55
WARĘDA,55
WASIEŃKO,55
WAWREŃCZUK,55
WECKWERTH,55
WEGNERSKI,55
WEISBRODT,55
WERBOWSKI,55
WEREMIŃSKI,55
WEREWKA,55
WESECKI,55
WESTERLICH,55
WIECZERZYCKI,55
WIKLOWSKI,55
WILIMBERG,55
WITOSZYŃSKI,55
WŁOCHOWSKI,55
WOJECH,55
WOJNACH,55
WOŁĄKIEWICZ,55
WOŁĄSEWICZ,55
WOŁONCEWICZ,55
WOROBIJ,55
WORONICZ,55
WSUŁ,55
WUDECKI,55
WYGLENDA,55
YANKEVYCH,55
YANKOVYI,55
YEGHIAZARYAN,55
YEROSHENKO,55
YUKHYMUK,55
ZABADAŁA,55
ZACHMYC,55
ZACHWYC,55
ZAKĘS,55
ZAMARIA,55
ZAPARA,55
ZARYCZAŃSKI,55
ZATAJ,55
ZAVALNYI,55
ZAWARTKO,55
ZBIERZCHOWSKI,55
ZBROŻYNA,55
ZEMLA,55
ZENDER,55
ZHARIKOV,55
ZHYROV,55
ZIELAZIŃSKI,55
ZIEWACZ,55
ZIOPAJA,55
ZIUZIAKOWSKI,55
ZLEZARCZYK,55
ZOFIŃSKI,55
ZOLOTARENKO,55
ŻMOJDA,55
ŻYNGIEL,55
ŻYWICZYŃSKI,55
ABDURAKHIMOV,54
ADAMICKI,54
ADAMONIS,54
AFTEWICZ,54
AHAIEV,54
AHMADI,54
ALABURDA,54
ALEKSANYAN,54
ALEKSEIEV,54
ALTMAJER,54
ALVAREZ,54
AMER,54
ANDRZEJASZEK,54
ANTOCHOWSKI,54
APPELT,54
ARTIUSHENKO,54
BABUSZKIEWICZ,54
BACHURIN,54
BAEK,54
BAKLANOV,54
BALANDIN,54
BALUN,54
BAŁDO,54
BAN,54
BANCEREK,54
BANDOS,54
BANDYCH,54
BARANNIK,54
BARASZKIEWICZ,54
BARINOV,54
BARLASZ,54
BARTYSKA,54
BARYLIUK,54
BASINSKI,54
BAZAL,54
BAZELIUK,54
BEJMAN,54
BENCAL,54
BERNYK,54
BĘCŁAWSKI,54
BĘCZYŃSKI,54
BIAŁORUDZKI,54
BIAŁOWICZ,54
BIELKIN,54
BIESZCZ,54
BILAŃSKI,54
BLADZICH,54
BLIADZE,54
BŁOCIAN,54
BOBIEC,54
BOCHKOVSKYI,54
BODUŁA,54
BODZAN,54
BOGOŁĘBSKI,54
BOHATYREWICZ,54
BOKSZCZANIN,54
BONCZAR,54
BORKOWY,54
BORODO,54
BRDĄKAŁA,54
BRELAK,54
BRELIŃSKI,54
BROKA,54
BROSS,54
BRYMERSKI,54
BUCEWKA,54
BUDHA,54
BUDRYK,54
BUKOWIAN,54
BULIA,54
BUNCHUK,54
BUNIEK,54
BURGS,54
BUSK,54
BYTOF,54
CELBAN,54
CHAPMAN,54
CHARUSTA,54
CHEMPEREK,54
CHICHŁOWSKI,54
CHODASEWICZ,54
CHRÓSTOWSKI,54
CICHOR,54
CIELESTA,54
CIENIAWA,54
CIENKUS,54
CIEPAŁOWICZ,54
CIEŚLACHOWSKI,54
CIONGWA,54
CITUK,54
CIUPKE,54
CONER,54
CUPOK,54
CYBORAN,54
CYKOWIAK,54
CYMOREK,54
CZAPLIK,54
CZEKAJEWSKI,54
CZEPIGA,54
CZERWONOGRODZKI,54
CZESZCZEWIK,54
CZULEWICZ,54
CZYŻNIEJEWSKI,54
DAMRYCH,54
ĐẶNG,54
DANKIV,54
DATSKYI,54
DAU,54
DEDYK,54
DĘTKOŚ,54
DOBOSZYŃSKI,54
DODOT,54
DONDZIŁO,54
DOROSZCZYK,54
DOVGAN,54
DOWGIELEWICZ,54
DRUŻBICKI,54
DRYMEL,54
DUCHALSKI,54
DURMAŁA,54
DYKSY,54
DZBUK,54
DZIANISAU,54
DZIEWISZ,54
DZIUBANOWSKI,54
DZIUPIŃSKI,54
DZIURDZIŃSKI,54
DZIURKIEWICZ,54
EGEMAN,54
EJSMOND,54
EKONOMIUK,54
FAZAN,54
FEDOSENKO,54
FERSZ,54
FIROSZ,54
FIRSIUK,54
FLIAK,54
FOJ,54
FOJTUCH,54
FOSTER,54
FRANIUK,54
FRELA,54
FROŁOW,54
FRYSTACKI,54
FUCZYŁO,54
FURDYKOŃ,54
GABRIELYAN,54
GAGATKO,54
GASIECKI,54
GAWRIOŁEK,54
GDESZ,54
GEMBAŁA,54
GIECZEWSKI,54
GIEDO,54
GIEDROWICZ,54
GŁATKI,54
GNACEK,54
GOCEJNA,54
GOGIASHVILI,54
GOŁDYCH,54
GONDER,54
GRĄDZIELEWSKI,54
GROMAN,54
GRYGIELEWICZ,54
GRZELIK,54
GRZYL,54
GUGLAS,54
GULATOWSKI,54
HABORAK,54
HAJŁASZ,54
HALABA,54
HALBINIAK,54
HAŁADA,54
HAMOT,54
HANIACZYK,54
HANSZ,54
HARAŚNY,54
HAREŃCZYK,54
HARSZE,54
HIERO,54
HILGIER,54
HOLECKI,54
HOLOVETSKYI,54
HOŁODNIUK,54
HORIACHEV,54
HRABCHAK,54
HRYNOV,54
HUDELA,54
HUMBLA,54
HUZAREWICZ,54
HYNOWSKI,54
HYSZKO,54
IDZIASZCZYK,54
ILIASOV,54
ILUKOWICZ,54
ISAEVI,54
ISTRATI,54
ISZCZEK,54
IWANECZKO,54
JABŁUSZEWSKI,54
JACENKO,54
JAGŁO,54
JAIANI,54
JAKUBOSZCZAK,54
JANCELEWICZ,54
JANKOSZ,54
JARZINA,54
JASTALSKI,54
JĄGOWSKI,54
JELESZUK,54
JENDERNAL,54
JEWASIŃSKI,54
JIA,54
JOBCZYŃSKI,54
JOWIK,54
JÓRASZ,54
JUNKE,54
JURGOWIAN,54
JURKUN,54
JURZYCA,54
KAJDANOWICZ,54
KALICZYŃSKI,54
KALISZYK,54
KAŁĘDKIEWICZ,54
KAMENCHUK,54
KANDZIOR,54
KANEVSKYI,54
KAPITANIAK,54
KARACZYN,54
KARAKULA,54
KARAVAIEV,54
KARULSKI,54
KASZLEJ,54
KAZMIERCZAK,54
KĘSKIEWICZ,54
KHODAN,54
KICILIŃSKI,54
KIERCZUK,54
KIERSZK,54
KIKVADZE,54
KIRAKOSYAN,54
KITSELIUK,54
KLEMARCZYK,54
KLEMPERT,54
KLISKO,54
KLYMUK,54
KŁOCZEWIAK,54
KNOPKIEWICZ,54
KOCIEŁ,54
KOCZOCIK,54
KOLODA,54
KOMINKO,54
KONSIK,54
KONWISARZ,54
KOPISTECKI,54
KOPYTYŃSKI,54
KORCIPA,54
KORDYKIEWICZ,54
KORKISHKO,54
KORNIEWICZ,54
KORZHENKO,54
KOSNOWICZ,54
KOSONÓG,54
KOSZACKI,54
KOŚCIEJ,54
KOWSZEWICZ,54
KOWTUN,54
KOZELAN,54
KOŹBIEL,54
KRAMARZEWSKI,54
KRASODOMSKI,54
KRELSKI,54
KROCZYK,54
KRYVOBOK,54
KRZELOWSKI,54
KRZYSZTANOWICZ,54
KRZYWORĄCZKA,54
KRZYŻKOWIAK,54
KUDRAŃSKI,54
KUKUC,54
KULESZCZYK,54
KULS,54
KUMANOWSKI,54
KUNSZTOWICZ,54
KURCZOBA,54
KURZAJEWSKI,54
KURZEMPA,54
KURZĘCKI,54
KUŻBIEL,54
LABICKI,54
LABIŚ,54
LANDMESSER,54
LARSSON,54
LATARIA,54
LEMIASHEUSKI,54
LIALKA,54
LINDENAU,54
LISKA,54
LITOVCHENKO,54
LITWINIENKO,54
LITZBARSKI,54
LIUBYI,54
LOZYTSKYI,54
LUZHNYI,54
LYSEK,54
ŁABENDOWICZ,54
ŁABISZAK,54
ŁACHACKI,54
ŁACZEK,54
ŁĄCZYK,54
ŁEZKA,54
ŁĘKARSKI,54
ŁOPATEK,54
ŁOWIECKI,54
ŁUDZEŃ,54
ŁUKACZYK,54
ŁUŚ,54
ŁYDKOWSKI,54
MAKOSIEJ,54
MALEVICH,54
MANKOVSKYI,54
MANTIUK,54
MARCISZYN,54
MARKER,54
MARKUC,54
MARKUN,54
MARO,54
MARTYNIEC,54
MARUSZA,54
MARYNCHENKO,54
MASTALIŃSKI,54
MATIUKHA,54
MATSOLA,54
MATULSKI,54
MAZANIK,54
MAZHARA,54
MĄDZELEWSKI,54
MEDWEDIUK,54
MELIŃSKI,54
MENKE,54
MERONK,54
MĘDYGRAŁ,54
MĘDZIAK,54
MGELADZE,54
MIALIK,54
MIATKOWSKI,54
MIKHALIUK,54
MIKLUSIAK,54
MILACHOWSKI,54
MILCAREK,54
MIROWICZ,54
MISZTALEWSKI,54
MISZUK,54
MIŚKOWIAK,54
MOISA,54
MOLSA,54
MORENO,54
MOSZAK,54
MOTYCZKA,54
MROK,54
MROZIEWSKI,54
MRUKOWICZ,54
MUSIOL,54
MYKHAILYCHENKO,54
NAGIEŁ,54
NAGOWSKI,54
NAJECHALSKI,54
NAJMROCKI,54
NAPIWOCKI,54
NAUMIK,54
NESTEROVYCH,54
NIEDEK,54
NIEDOMAGAŁA,54
NIEMC,54
NIKISZ,54
NOCON,54
NOWOJSKI,54
NOZDRYN-PŁOTNICKI,54
OBRATAŃSKI,54
OCHOT,54
OCZKI,54
OKULOWSKI,54
OLAWA,54
OLEINIC,54
OLESZYCKI,54
OLSZEWIK,54
OMELJANIUK,54
ONIANI,54
OPALEWSKI,54
OPANOWICZ,54
OSIPA,54
OSMOLIŃSKI,54
OSTRZYNIEWSKI,54
OTAWSKI,54
OTOLA,54
OTTENBREIT,54
PACHUTKO,54
PADYJASEK,54
PANCHERZ,54
PARFIANOWICZ,54
PARKASIEWICZ,54
PASHAEV,54
PASTERKIEWICZ,54
PASTRYK,54
PATAPAU,54
PATOLA,54
PATRZAŁA,54
PAWEŁAS,54
PĄKLAK,54
PĘSZYŃSKI,54
PHÙNG,54
PILETSKYI,54
PIŁATYK,54
PIRUS,54
PITA,54
PLAKHOTNYK,54
PLAKSIN,54
PLYSIUK,54
PŁASKOWICKI,54
POCHANKE,54
PODBORNY,54
PODZIELNY,54
POLARZ,54
POLEWANY,54
POŁCZYK,54
POMAŁECKI,54
POMARKIEWICZ,54
POMIŃSKI,54
PONCZYŃSKI,54
PONIEDZIELSKI,54
POŃCZOCHA,54
POPOVIĆ,54
POSTRZECH,54
POSZEPCZYŃSKI,54
POTAŚNIK,54
POTIUK,54
POTOMKIN,54
PÓDA,54
PRAŻYŃSKI,54
PRÓCHNO,54
PRUDYUS,54
PRYTKO,54
PRZASNYSKI,54
PRZYBYSIAK,54
PSTRZOCH,54
PSZOWSKI,54
PUTKIEWICZ,54
QURBONOV,54
RABTSAU,54
RACHOK,54
RADCZAK,54
RADTKA,54
RADUŃSKI,54
RAGIEL,54
RAJTAROWSKI,54
RAJZYNGIER,54
RAKICKI,54
RAPCZEWSKI,54
RĄDLEWSKI,54
REDZIAK,54
REISNER,54
REJMENTOWSKI,54
REMBA,54
RENKEL,54
RENNER,54
RESEL,54
RETTIG,54
ROCHMALSKI,54
ROMANIEWICZ,54
ROZA,54
RUDYŃSKI,54
RYDAROWICZ,54
RYŁOWICZ,54
RZĘSIEWICZ,54
SADOWIAK,54
SAKAŁUS,54
SALOV,54
SALWIERAK,54
SAŁADONIS,54
SAMCHENKO,54
SAMSELSKI,54
SARAPUK,54
SAVELYEU,54
SEMERIAK,54
SETERNUS,54
SHEROZIA,54
SICH,54
SIEKANOWICZ,54
SIEPETOWSKI,54
SIMORA,54
SIPIKA,54
SIRADZE,54
SIWICA,54
SKARBA,54
SKIPOR,54
SKIRLIŃSKI,54
SKRĘTOWICZ,54
SKRZYPIK,54
SMOLICKI,54
SMUŻNIAK,54
SOCZEWICA,54
SOŁDEK,54
SOŁGA,54
SOMAK,54
SOMLA,54
SOSA,54
SOSNOWIEC,54
SPASÓWKA,54
SPYRYDONOV,54
STANCIU,54
STANKOV,54
STAREGO,54
STAROK,54
STAWIERAJ,54
STEINDOR,54
STETSKYI,54
STIPPA,54
STOCHNIAŁ,54
STOLPA,54
STOSZ,54
STRYJNIAK,54
STRZELSKI,54
STRZEWICZEK,54
STSEFANOVICH,54
SUKHARIEV,54
SUKHOTSKI,54
SUKHYNA,54
SULEIMANOVI,54
SURMIK,54
SUSZYNA,54
SWATKOWSKI,54
SYDORKO,54
SZADOWSKI,54
SZAJBEL,54
SZAMLEWSKI,54
SZCZEKAŁA,54
SZKARADZIŃSKI,54
SZKLAR,54
SZMAGLIK,54
SZPARAGOWSKI,54
SZUDARSKI,54
SZULAWSKI,54
SZURMIEJ,54
SZYCHOWICZ,54
SZYLKIEWICZ,54
SZYNGWELSKI,54
ŚCIEŃSKI,54
ŚCIGA,54
ŚLEDZIOWSKI,54
ŚLICZNIAK,54
ŚLOZOWSKI,54
ŚNIATKOWSKI,54
ŚNIEŻAWSKI,54
ŚRUTOWSKI,54
ŚWIERZAWSKI,54
TADEUSZAK,54
TAGHIYEV,54
TAGLEWSKI,54
TAMOŃ,54
TARCHALSKI,54
THOMSON,54
TOMKIV,54
TORCHYLO,54
TREHUBOV,54
TROIŃSKI,54
TROT,54
TRUNK,54
TRYNKOS,54
TSANAVA,54
TSOMA,54
TSOMKO,54
TSYBULIA,54
TUDOR,54
TUJAK,54
TURCANU,54
TUZINKIEWICZ,54
TYBINKOWSKI,54
TYNKALIUK,54
TYSHKO,54
TYSLER,54
UCIESZYŃSKI,54
UJAS,54
ULASKI,54
ULAWSKI,54
ULLER,54
ULLRICH,54
ULMA,54
URSUL,54
USTYNOV,54
VERKHOHLIAD,54
VITIV,54
VOLIANYK,54
WABIA,54
WADZIŃSKI,54
WALOSCZYK,54
WAŁĘSKA,54
WANDELT,54
WENDORFF,54
WENTRYS,54
WIETRZAK,54
WINCIERZ,54
WIRWICKI,54
WITASEK,54
WOJTALCZYK,54
WOLLNIK,54
WOLTMAN,54
WONTOR,54
WÓJTOWIEC,54
WRZECIONEK,54
WYREMBSKI,54
WYSTUB,54
ZAWIRSKI,54
ZBROWSKI,54
ZEL,54
ZGRAJEK,54
ZHVANIA,54
ZIENTKIEWICZ,54
ZIĘBACZEWSKI,54
ZINKOV,54
ZORAN,54
ZROŚLAK,54
ZYCHMA,54
ŻAWORONEK,54
ŻMUJDZIN,54
ŻYROMSKI,54
AFFELDT,53
AGUILAR,53
ALBU,53
ALEKSANDROVICH,53
ALFOROV,53
ALON,53
AŁTYN,53
AMBROCH,53
AMROZIŃSKI,53
ANANCHENKO,53
ANDRUSZAK,53
ANTOŚKIEWICZ,53
ASIPENKA,53
BAJCZYK,53
BAJERLEIN,53
BAKALAREK,53
BAŃDA,53
BARAVIK,53
BARCKI,53
BARJASZ,53
BARUK,53
BASĄG,53
BĄCZAR,53
BĄTOR,53
BEJ,53
BEKISH,53
BEKSIAK,53
BERDYCH,53
BEREZICKI,53
BĘBEŃCA,53
BIGIELMAJER,53
BILANT,53
BILICH,53
BINIASZEWSKI,53
BIODROWICZ,53
BLAŃDA,53
BOCHAŃSKI,53
BODZIANOWSKI,53
BOTKO,53
BRANC,53
BREWCZYK,53
BRZYWCZY,53
BUBLIK,53
BUCK,53
BUKAREWICZ,53
BURIACHENKO,53
BURJAŃSKI,53
BURKE,53
BYCHKOUSKI,53
BYKOVSKYI,53
BYSTRYTSKYI,53
CENIUK,53
CHA,53
CHADACZ,53
CHARCZENKO,53
CHAREMSKI,53
CHAREŃSKI,53
CHEREPAKHA,53
CHILARSKI,53
CHIŻYŃSKI,53
CHOŁYST,53
CHORĄZKI,53
CHORNOMAZ,53
CHOROWSKI,53
CHYNAŁ,53
CIĄGWA,53
ÇİÇEK,53
CINIEWSKI,53
CIŚLIK,53
CIUĆMAŃSKI,53
COŁTA,53
COVACIU,53
CROITOR,53
CUGLOWSKI,53
CYKMAN,53
CYPRIAN,53
CZARCZYK,53
CZEKIEL,53
CZERBNIAK,53
CZUCHROWSKI,53
CZUPICH,53
CZUSZ,53
ĆWIAN,53
ĆWIRTA,53
DADZIBÓG,53
DAGAN,53
DAROSZ,53
DECZKOWSKI,53
DEKIER,53
DERCZYŃSKI,53
DEREN,53
DEREWIECKI,53
DESAI,53
DEWERA,53
DĘBOWIEC,53
DOJLIDO,53
DORABIALSKI,53
DORAK,53
DRĘCZEWSKI,53
DUBANOWICZ,53
DUBOUSKI,53
DUBOVENKO,53
DUCZMALEWSKI,53
DYWELSKI,53
DZIAMAŁEK,53
DZIAMECKI,53
DZIAMIDAU,53
DZIEMITKO,53
DZIOCHA,53
ELIKS,53
FABIAŃCZUK,53
FENIUK,53
FERLEWICZ,53
FIDYKA,53
FILL,53
FILUBA,53
FINGER,53
FLASZCZYŃSKI,53
FLORYAN,53
FOLARON,53
FRITZA,53
FUDECKI,53
FUSIŃSKI,53
GADAMSKI,53
GAJDUS,53
GAMIDOV,53
GANCZARCZYK,53
GANIEK,53
GANITA,53
GARBELA,53
GARBIŃSKI,53
GARNIEWSKI,53
GAWLISTA,53
GĄTNICKI,53
GERLAK,53
GEVA,53
GĘDŹBA,53
GIENTKA,53
GIEROK,53
GIŻKA,53
GLACEL,53
GNIEŁKA,53
GOGUŁA,53
GOŁĘBIEWICZ,53
GOŁĘGOWSKI,53
GOŹDZIECKI,53
GÓRAZDA,53
GRAHAM,53
GRAUR,53
GRENDUS,53
GRONDKOWSKI,53
GRUNERT,53
GRUSZKO,53
GRYGORENKO,53
HACHLICA,53
HACUŚ,53
HAIDUKOV,53
HAJDZIONY,53
HAJMAN,53
HAŁAJCZAK,53
HAMPF,53
HANIN,53
HARASYMIV,53
HARBARUK,53
HAVRYSHKO,53
HEĆKO,53
HEDER,53
HEFLIK,53
HEGENBARTH,53
HEISIG,53
HENDRICH,53
HERCKA,53
HOCHÓŁ,53
HOGIEL,53
HOINKIS,53
HOLDENMAJER,53
HORBACHENKO,53
HORENKO,53
HORISHNYI,53
HOROBCHUK,53
HRUBYI,53
HUBALA,53
HUZAREVICH,53
IVASHKEVICH,53
IVKO,53
JAKSAN,53
JAŁOSZEWSKI,53
JANDER,53
JARKULISZ,53
JARZECKI,53
JAWÓR,53
JENA,53
JERZAKOWSKI,53
JĘDRZYŃSKI,53
JÓZKOWIAK,53
JUTROWSKI,53
KACALAK,53
KACUGA,53
KACWIN,53
KADLEC,53
KAFAROWSKI,53
KAHAN,53
KAJTANIAK,53
KALANDIA,53
KALIGA,53
KALOTKA,53
KANCELISTA,53
KAPCIO,53
KAPIS,53
KAREPIN,53
KARKOSIK,53
KARTVELISHVILI,53
KASA,53
KASIETCZUK,53
KAWAŁOWSKI,53
KENDYŚ,53
KĘPROWSKI,53
KHAMDAMOV,53
KHANIN,53
KHVOSTENKO,53
KIMBOROWICZ,53
KIRA,53
KLEBANIUK,53
KLETS,53
KLIMECZKO,53
KLIMENKA,53
KLIUCHKA,53
KŁODKOWSKI,53
KMIECICKI,53
KNAUER,53
KOCZANOWSKI,53
KOKHANOVSKYI,53
KOLIMAGA,53
KOŁODNICKI,53
KONOPATSKYI,53
KOPICZAK,53
KORABIEWSKI,53
KORBOLEWSKI,53
KORNIŁOWICZ,53
KOROSTIL,53
KOSHELEV,53
KOSTRYTSIA,53
KOSTURSKI,53
KOZIORZEMSKI,53
KRAMCZYŃSKI,53
KRASNIANSKYI,53
KRASÓWKA,53
KREMZA,53
KRETSCHMANN,53
KRĘGIELSKI,53
KRIACHKO,53
KRYUS,53
KRZYSZTAŁOWSKI,53
KSIĘSKI,53
KULENKO,53
KULICZ,53
KUNISZ,53
KUSZNIEREWICZ,53
KUTSKO,53
KUZIEMKO,53
KWEC,53
LAHUTIN,53
LAMPRYCHT,53
LANCZEWSKI,53
LECIŃSKI,53
LEMANEK,53
LEONIEC,53
LEZHAVA,53
LIBOSKA,53
LIER,53
LINDSTEDT,53
LINSTEDT,53
LISKIEWICZ,53
LITERACKI,53
LIWARSKI,53
LIZINIEWICZ,53
LOBAS,53
LUBERT,53
ŁAMBUCKI,53
ŁOKIETKO,53
ŁUKASZKIEWICZ,53
ŁUKIAN,53
MAAS,53
MACELUCH,53
MACHOWINA,53
MACIATA,53
MAGNOR,53
MAKHOVSKYI,53
MAKOUSKI,53
MAKUSEK,53
MALEROWICZ,53
MALISHEVSKYI,53
MAŁGOWSKI,53
MAŁSZYCKI,53
MANGOLD,53
MANKEVICH,53
MARACHOWSKI,53
MARASZ,53
MARCHELAK,53
MARKU,53
MARMULEWICZ,53
MASHKIN,53
MASIERA,53
MAYEUSKI,53
MĄDZIEL,53
MĄTEWSKI,53
MECHA,53
MENDYKOWSKI,53
MIAHKYI,53
MIAZ,53
MICHAJLUK,53
MIELECHOWICZ,53
MIELICKI,53
MIĘDLARZ,53
MIHÁLY,53
MILEK,53
MIRCZEWSKI,53
MITEV,53
MITTMANN,53
MOJZA,53
MOJŻYSZEK,53
MOKROSZ,53
MOKRYI,53
MOROS,53
MOSHKIVSKYI,53
MOSTOWIAK,53
MROCZYK,53
MROZIUK,53
MURAL,53
MUSTAPHAEV,53
MYKOLA,53
MYSHCHENKO,53
NADTOKA,53
NADYBSKI,53
NADZIKIEWICZ,53
NAGUCKI,53
NAROZHNYI,53
NASIR,53
NASONOV,53
NAST,53
NASZKO,53
NIEKRASZEWICZ,53
NIENADOWSKI,53
NIEPOLSKI,53
NIEWADA,53
NIKODYM,53
NIKSIŃSKI,53
NITOWSKI,53
NIŻAŁOWSKI,53
NIŻEWSKI,53
NOWAĆ,53
NOWEL,53
OCALEWSKI,53
OLISHCHUK,53
OLIWIECKI,53
OLSSON,53
ONUCHOWSKI,53
OPASIK,53
OPIŃSKI,53
ORDYŃSKI,53
ORMIAŃSKI,53
ORYNIAK,53
OVDIICHUK,53
OVERCHENKO,53
OŹMINA,53
PAKHNIUK,53
PAKLEPA,53
PAŁUSZKA,53
PANAMAROU,53
PANARIN,53
PANCZYKOWSKI,53
PANICZEK,53
PAPAVA,53
PAPIDZE,53
PAPLAUSKI,53
PARYŁO,53
PASIERBIAK,53
PATACZ,53
PATAPENKA,53
PAWŁOŚ,53
PELPLIŃSKI,53
PETLIŃSKI,53
PĘDZIERSKI,53
PHUNG,53
PIAŁUCHA,53
PIAST,53
PIESHKOV,53
PIHUT,53
PIJAJKO,53
PIMENOV,53
PIPIEŃ,53
PLĄSKA,53
PLICKO,53
PŁUZIŃSKI,53
POBIKROWSKI,53
PODDENEK,53
PODKOWICZ,53
PODLIPNIAK,53
PODUCH,53
POMES,53
PONTO,53
POPADOWSKI,53
PORTUŚ,53
POSOKHOV,53
POSOR,53
POSTAREMCZAK,53
POTARGOWICZ,53
POTSILUIKO,53
POTWARDOWSKI,53
POŻDAŁ,53
PRAISS,53
PRAKASH,53
PRASOWSKI,53
PRZECHODZKI,53
PRZEDWOLSKI,53
PRZEZAK,53
PSZENNIAK,53
PUDLARZ,53
PUSHKIN,53
PUTYNKOWSKI,53
PYKHTIN,53
PYROZHOK,53
PYTTEL,53
PYŻEWSKI,53
RADZIACH,53
RAGIN,53
RAHMONOV,53
RAIS,53
RATUSIŃSKI,53
RATZ,53
RAYSKI,53
RAŻNIEWSKI,53
RDZEŃ,53
REDKIEWICZ,53
REGEŃCZUK,53
REJA,53
REPEROWICZ,53
REPTAK,53
RĘBAŁA,53
RIEPIN,53
RODNICKI,53
ROMOWSKI,53
ROSENFELD,53
ROSZKOWICZ,53
ROZPENDEK,53
RUMINKIEWICZ,53
RUMPCA,53
RYBCHENKO,53
RYFIŃSKI,53
RZECHTALSKI,53
RZEPUS,53
SAKHNENKO,53
SALEEM,53
SAŁO,53
SAMULIAK,53
SANDERS,53
SANDOMIERZ,53
SANIAK,53
SANIKIDZE,53
SAPIEŻKO,53
SARANA,53
SAUĆ,53
SCHRÖTER,53
SENDYKA,53
SERCZYK,53
SERŻYSKO,53
SĘDYKA,53
SHAPARENKO,53
SHASHKOV,53
SHUTENKO,53
SIĆKO,53
SIDARAU,53
SIMONENKO,53
ŞIMŞEK,53
SKARBOŃ,53
SKICKI,53
SKOTNY,53
SKROBECKI,53
SMAGOWICZ,53
SMALARA,53
SMARZOCH,53
SMREK,53
SMYKIEWICZ,53
SOBANIAK,53
SODIKOV,53
SOŁOMIANKO,53
SOMERFELD,53
SPEIER,53
SPÎNU,53
STANCZAK,53
STANEJKO,53
STANISŁAWCZUK,53
ŞTEFAN,53
STOLL,53
STOPARCZYK,53
STRÓŻCZYK,53
STRZAŁKO,53
STRZOP,53
SUJETA,53
SULĘCKI,53
SURACKI,53
SUSICKI,53
SVOBODA,53
SWĘDRA,53
SYDIR,53
SYNCERZ,53
SZAJERKA,53
SZANTULA,53
SZARZAŁA,53
SZATURSKI,53
SZCZAPIŃSKI,53
SZCZEKLIK,53
SZCZERBIEŃ,53
SZERER,53
SZKOLMOWSKI,53
SZKUDLARCZYK,53
SZLAUDERBACH,53
SZMITKOWSKI,53
SZNEK,53
SZÓSTKO,53
SZPUREK,53
SZTANDO,53
SZTANKA,53
SZTOGRYN,53
SZULZ,53
SZURMIŃSKI,53
SZYJER,53
SZYKUT,53
ŚCIGAJŁO,53
ŚCIUPIDER,53
ŚWIĄTEK BRZEZIŃSKI,53
ŚWIZDOR,53
TEKIN,53
TEMEL,53
TEREKH,53
THIEM,53
TIM,53
TITENKO,53
TOCHWIN,53
TOMIAŁOJĆ,53
TORENC,53
TOROUS,53
TORÓJ,53
TRYNCHUK,53
TRZESZCZAK,53
TSEHELNYK,53
TUCZKOWSKI,53
TUPKO,53
TWORK,53
TYMIEC,53
TYWANEK,53
UFEL,53
